ts,equity,equity_unit,ret_1d,drawdown,benchmark_equity,benchmark_ret_1d
2025-12-20T01:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T02:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T03:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T04:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T05:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T06:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T07:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T08:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T09:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T10:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T11:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T12:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T13:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T14:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T15:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T16:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T17:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T18:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T19:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T20:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T21:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T22:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-20T23:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T00:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T01:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T02:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T03:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T04:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T05:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T06:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T07:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T08:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T09:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T10:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T11:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T12:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T13:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T14:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T15:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T16:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T17:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T18:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T19:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T20:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T21:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T22:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-21T23:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T00:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T01:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T02:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T03:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T04:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T05:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T06:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T07:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T08:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T09:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
2025-12-22T10:00:00+00:00,0.958418485568051,index,0.0,0.049887540428919006,,
