ts,open,high,low,close,volume,ema20,atr14,vol_sma20
2025-05-12 09:00:00,21027.0,21128.0,20978.0,21091.0,43606,20829.792371476255,80.52403330712909,10353.6
2025-05-12 10:00:00,21092.0,21135.0,21064.0,21078.0,17224,20853.431193240423,79.84374521376273,10120.4
2025-05-12 11:00:00,21078.0,21090.0,21002.0,21038.0,16985,20871.00917483657,80.42633484135112,10346.7
2025-05-12 12:00:00,21039.0,21072.0,21024.0,21050.0,8146,20888.05592009023,78.1101680669689,9882.1
2025-05-12 13:00:00,21051.0,21079.0,21031.0,21066.0,8699,20905.002975319734,75.95944177647112,9921.4
2025-05-12 15:00:00,21068.0,21447.0,21067.0,21364.0,37326,20948.716977670236,97.74805307815176,11475.1
2025-05-12 16:00:00,21362.0,21418.0,21334.0,21388.0,10325,20990.553455987356,96.7660492868552,11802.55
2025-05-12 17:00:00,21388.0,21421.0,21381.0,21405.0,5074,21030.02455541713,92.71133148065127,11872.0
2025-05-12 18:00:00,21405.0,21435.0,21378.0,21398.0,5668,21065.069835853596,90.16052208917618,11687.5
2025-05-12 19:00:00,21397.0,21406.0,21363.0,21377.0,4868,21094.777470534205,86.79191336852074,11728.95
2025-05-12 20:00:00,21374.0,21417.0,21373.0,21389.0,3968,21122.798663816662,83.73534812791212,11385.5
2025-05-12 21:00:00,21391.0,21434.0,21315.0,21330.0,19399,21142.532124405552,86.25425183306126,11269.45
2025-05-12 22:00:00,21330.0,21392.0,21296.0,21360.0,19778,21163.243350652643,86.95037670212832,11707.65
2025-05-12 23:00:00,21360.0,21408.0,21350.0,21386.0,9807,21184.458269638104,84.88249265197629,11782.6
2025-05-13 00:00:00,21387.0,21478.0,21380.0,21477.0,7972,21212.31938681543,85.81945746254942,11902.0
2025-05-13 01:00:00,21475.0,21505.0,21460.0,21466.0,6245,21236.47944521396,82.90378192951017,12118.55
2025-05-13 02:00:00,21465.0,21485.0,21454.0,21455.0,1730,21257.290926622154,79.19636893454516,12089.6
2025-05-13 03:00:00,21454.0,21477.0,21423.0,21461.0,2652,21276.69179075338,77.39662829636337,12149.9
2025-05-13 04:00:00,21462.0,21496.0,21462.0,21495.0,2205,21297.483048776867,74.36829770376599,12252.0
2025-05-13 05:00:00,21495.0,21498.0,21487.0,21494.0,156,21316.198948893354,69.84199072492557,11591.65
2025-05-13 08:00:00,21419.0,21495.0,21407.0,21491.0,10486,21332.846668046368,71.13899138743089,9935.65
2025-05-13 09:00:00,21490.0,21518.0,21410.0,21427.0,39527,21341.813652041954,73.77192057404297,11050.8
2025-05-13 10:00:00,21428.0,21479.0,21326.0,21341.0,29420,21341.736161371293,79.43106910446848,11672.55
2025-05-13 11:00:00,21340.0,21374.0,21288.0,21344.0,17551,21341.951765050217,79.9002784541493,12142.8
2025-05-13 12:00:00,21345.0,21356.0,21316.0,21337.0,8464,21341.480168378766,77.05025856456722,12131.05
2025-05-13 13:00:00,21337.0,21360.0,21326.0,21357.0,9410,21342.958247580787,73.97524009566956,10735.25
2025-05-13 15:00:00,21353.0,21365.0,21342.0,21353.0,3944,21343.914604954043,70.33415151740745,10416.2
2025-05-13 16:00:00,21353.0,21353.0,21318.0,21332.0,3902,21342.779880672704,67.81028355187834,10357.6
2025-05-13 17:00:00,21331.0,21388.0,21314.0,21374.0,5092,21345.75322537054,68.25240615531561,10328.8
2025-05-13 18:00:00,21374.0,21390.0,21360.0,21378.0,4028,21348.82434676382,65.52009142993593,10286.8
