ts,open,high,low,close,volume
2024-07-17,23992.0,24086.0,23355.0,23384.0,354607
2024-07-18,23383.0,23593.0,22872.0,22917.0,624860
2024-07-19,22916.0,23185.0,22693.0,22861.0,544456
2024-07-20,22862.0,22883.0,22729.0,22781.0,39597
2024-07-22,22856.0,22905.0,22184.0,22552.0,498716
2024-07-23,22553.0,22871.0,22522.0,22775.0,357145
2024-07-24,22776.0,22805.0,22694.0,22718.0,26236
2024-07-26,22050.0,22327.0,21918.0,22241.0,354797
2024-07-27,22241.0,22350.0,22203.0,22251.0,41494
2024-07-29,22420.0,22518.0,21884.0,21993.0,354339
2024-07-30,21992.0,22320.0,21809.0,21888.0,436246
2024-07-31,21888.0,22567.0,21785.0,22522.0,411421
2024-08-01,22523.0,22728.0,22202.0,22226.0,439005
2024-08-02,22227.0,22269.0,20952.0,21248.0,604974
2024-08-03,21247.0,21273.0,21072.0,21080.0,61056
2024-08-05,20666.0,20740.0,18827.0,20016.0,829783
2024-08-06,20017.0,20792.0,19600.0,20426.0,800358
2024-08-07,20424.0,21434.0,20230.0,21214.0,624732
2024-08-08,21214.0,21304.0,20551.0,21302.0,613774
2024-08-09,21302.0,21819.0,21014.0,21448.0,572669
2024-08-10,21446.0,21675.0,21422.0,21575.0,47845
2024-08-12,21595.0,21924.0,21561.0,21870.0,350831
2024-08-13,21869.0,21971.0,21662.0,21955.0,313737
2024-08-14,21954.0,22210.0,21732.0,22021.0,396952
2024-08-15,22020.0,22335.0,21757.0,22320.0,352718
2024-08-16,22320.0,22445.0,22168.0,22327.0,301665
2024-08-17,22326.0,22402.0,22306.0,22344.0,26901
2024-08-19,22405.0,22522.0,22222.0,22434.0,244176
2024-08-20,22436.0,22579.0,22255.0,22352.0,229915
2024-08-21,22350.0,22364.0,22015.0,22179.0,257528
2024-08-22,22178.0,22300.0,21854.0,21923.0,330023
2024-08-23,21924.0,22439.0,21766.0,22279.0,366876
2024-08-24,22278.0,22314.0,22176.0,22292.0,38895
2024-08-26,22243.0,22450.0,22029.0,22053.0,272427
2024-08-27,22053.0,22300.0,21993.0,22214.0,282435
2024-08-28,22215.0,22553.0,22049.0,22308.0,317200
2024-08-29,22307.0,22476.0,21885.0,22429.0,354195
2024-08-30,22429.0,22463.0,22140.0,22179.0,280508
2024-08-31,22179.0,22306.0,22095.0,22296.0,41638
2024-09-02,22323.0,22447.0,22060.0,22220.0,206915
2024-09-03,22220.0,22313.0,21486.0,21552.0,342278
2024-09-04,21552.0,21594.0,20827.0,21259.0,481331
2024-09-05,21257.0,21471.0,21055.0,21257.0,389626
2024-09-06,21259.0,21530.0,20731.0,20825.0,469880
2024-09-07,20825.0,20844.0,20549.0,20550.0,60893
2024-09-09,20730.0,21329.0,20610.0,21247.0,313537
2024-09-10,21247.0,21350.0,20866.0,20869.0,370954
2024-09-11,20867.0,21277.0,20818.0,21149.0,383036
2024-09-12,21149.0,21791.0,21147.0,21677.0,353092
2024-09-13,21676.0,21894.0,21657.0,21862.0,210177
2024-09-14,21862.0,21890.0,21800.0,21836.0,21783
2024-09-16,21820.0,21870.0,21600.0,21642.0,150006
2024-09-17,21643.0,21768.0,21621.0,21725.0,21694
2024-09-18,21735.0,21873.0,21559.0,21663.0,159925
2024-09-19,21663.0,22313.0,21605.0,22280.0,350988
2024-09-20,22280.0,22434.0,22099.0,22191.0,260117
2024-09-21,22193.0,22283.0,22160.0,22197.0,28125
2024-09-23,22298.0,22392.0,22196.0,22359.0,195025
2024-09-24,22358.0,22823.0,22151.0,22802.0,294998
2024-09-25,22803.0,23032.0,22739.0,22950.0,238511
2024-09-26,22947.0,23395.0,22873.0,23268.0,316058
2024-09-27,23268.0,23279.0,22703.0,22781.0,320038
2024-09-28,22782.0,22878.0,22633.0,22645.0,41936
2024-09-30,22677.0,22755.0,22089.0,22121.0,292947
2024-10-01,22121.0,22463.0,21888.0,22001.0,328217
2024-10-02,22000.0,22200.0,21940.0,22101.0,48541
2024-10-04,22325.0,22661.0,22236.0,22500.0,301735
2024-10-05,22500.0,22570.0,22452.0,22522.0,26519
2024-10-07,22562.0,22807.0,22530.0,22653.0,242979
2024-10-08,22654.0,22799.0,22394.0,22790.0,274722
2024-10-09,22790.0,22886.0,22573.0,22776.0,247555
