entry_time,exit_time,entry,exit,stop,t1,t2,reason,ret
2024-11-05T22:00:00,2024-11-06T04:00:00,23230.0,23247.0,23027.3804283897,23533.92935741545,23675.76305754266,time_or_ema,0.0007318123116659492
2024-12-04T11:00:00,2024-12-04T18:00:00,23190.0,23278.0,23112.890081311154,23305.66487803327,23359.64182111546,time_or_ema,0.004391222036077381
2025-01-03T08:00:00,2025-01-03T15:00:00,22989.0,22997.0,22895.313934503058,23129.529098245413,23195.109344093275,time_or_ema,0.00034799251816085953
2025-01-20T09:00:00,2025-01-20T16:00:00,23334.0,23336.0,23247.16831833733,23464.247522494003,23525.02969965787,time_or_ema,8.571183680466272e-05
2025-01-20T22:00:00,2025-01-21T00:00:00,23412.0,23315.162180421336,23315.162180421336,23557.256729367997,23625.043203073063,stop,-0.0041362472056494315
2025-02-07T09:00:00,2025-02-07T16:00:00,23350.0,23480.0,23278.753400066,23456.869899900998,23506.742519854797,time_or_ema,0.005072160597451768
2025-02-07T21:00:00,2025-02-07T23:00:00,23497.0,23401.39953694447,23401.39953694447,23640.400694583295,23707.321018722163,stop,-0.004068624209708855
2025-02-11T23:00:00,2025-02-12T05:00:00,23415.0,23409.0,23297.616877283446,23591.074684074832,23673.242869976417,time_or_ema,-0.00025624599615631005
2025-02-13T11:00:00,2025-02-13T15:00:00,23399.0,23361.0,23341.103072226484,23485.845391660274,23526.373241101734,time_or_ema,-0.0016240010256848582
2025-02-18T10:00:00,2025-02-18T15:00:00,23558.0,23698.471568903966,23494.149286861833,23653.77606970725,23698.471568903966,target,0.005014170103812241
2025-02-19T09:00:00,2025-02-19T10:00:00,23642.0,23582.79548248958,23582.79548248958,23730.806776265632,23772.249938522928,stop,-0.002504209352441472
2025-02-19T11:00:00,2025-02-19T12:00:00,23679.0,23604.139982350705,23604.139982350705,23791.290026473944,23843.69203882845,stop,-0.003161451820148427
2025-02-19T15:00:00,2025-02-19T18:00:00,23645.0,23605.37497858036,23605.37497858036,23704.43753212946,23732.175047123208,stop,-0.0016758308910822875
2025-02-20T16:00:00,2025-02-20T22:00:00,23604.0,23530.887180069392,23530.887180069392,23713.66922989591,23764.848203847338,stop,-0.0030974758486107296
2025-02-26T10:00:00,2025-02-26T17:00:00,23290.0,23445.0,23209.38495458791,23410.922568118134,23467.3530999066,time_or_ema,0.0059236274821411385
2025-02-26T22:00:00,2025-02-27T02:00:00,23493.0,23354.603903586034,23354.603903586034,23700.594144620947,23797.471412110724,stop,-0.005890950343249734
2025-04-24T21:00:00,2025-04-25T03:00:00,19704.0,19921.0,19524.056302730867,19973.9155459037,20099.876133992093,time_or_ema,0.011012992285830287
2025-04-26T00:00:00,2025-04-28T08:00:00,19974.0,19989.0,19839.666640315216,20175.500039527178,20269.533391306526,time_or_ema,0.0007509762691498949
2025-04-29T09:00:00,2025-04-29T10:00:00,20026.0,20193.380664627908,19949.917879714587,20140.12318042812,20193.380664627908,target,0.007028459129532302
2025-04-29T22:00:00,2025-04-30T04:00:00,20182.0,20157.0,20088.064032911367,20322.90395063295,20388.659127594994,time_or_ema,-0.0012387275790308196
2025-04-30T13:00:00,2025-04-30T16:00:00,20151.0,20237.840270547447,20111.52714975116,20210.209275373258,20237.840270547447,target,0.0036238783663516696
2025-05-06T10:00:00,2025-05-06T13:00:00,20452.0,20326.325812817955,20326.325812817955,20640.51128077307,20728.4832118005,stop,-0.006144836064054615
2025-05-08T08:00:00,2025-05-08T15:00:00,20522.0,20557.0,20432.969192966324,20655.546210550514,20717.867775474086,time_or_ema,0.004106476234054038
2025-05-09T10:00:00,2025-05-09T17:00:00,20726.0,20826.0,20601.94588058369,20912.081179124463,20998.91906271588,time_or_ema,0.0048248576666988325
2025-05-16T00:00:00,2025-05-16T03:00:00,21785.0,21718.990802706547,21718.990802706547,21884.01379594018,21930.2202340456,stop,-0.0030300297128048347
2025-05-21T09:00:00,2025-05-21T12:00:00,21645.0,21796.50517666511,21576.13401060677,21748.298984089844,21796.50517666511,target,0.005885981999421415
2025-05-21T23:00:00,2025-05-22T01:00:00,21703.0,21638.982913786844,21638.982913786844,21799.025629319734,21843.837589668943,stop,-0.0029496883478392984
2025-05-27T08:00:00,2025-05-27T09:00:00,21409.0,21385.590723837053,21385.590723837053,21444.113914244423,21460.500407558484,stop,-0.0010934315550911863
2025-05-27T22:00:00,2025-05-28T01:00:00,21320.0,21399.921658307987,21283.67197349637,21374.492039755445,21399.921658307987,target,0.003152291230380678
2025-06-03T21:00:00,2025-06-04T03:00:00,21131.0,21236.0,21053.249845951264,21247.625231073103,21302.05033890722,time_or_ema,0.005244078157046599
2025-06-05T20:00:00,2025-06-06T02:00:00,21655.0,21620.0,21553.13257114311,21807.80114328534,21879.10834348516,time_or_ema,-0.0016162549064881089
2025-06-09T08:00:00,2025-06-09T09:00:00,21760.0,21645.135515911865,21645.135515911865,21932.296726132205,22012.7018649939,stop,-0.005278698717285626
2025-06-09T11:00:00,2025-06-09T18:00:00,21724.0,21767.0,21650.183355852176,21834.724966221736,21886.396617125214,time_or_ema,0.0019793776468422022
2025-06-09T22:00:00,2025-06-10T04:00:00,21824.0,21838.0,21726.93194229732,21969.60208655402,22037.549726945894,time_or_ema,0.0006414956011730205
2025-06-27T23:00:00,2025-06-28T01:00:00,22190.0,22113.60845034676,22113.60845034676,22304.587324479857,22358.061409237125,stop,-0.0034426115211013543
2025-07-02T22:00:00,2025-07-03T04:00:00,22456.0,22579.0,22343.530057137163,22624.704914294256,22703.433874298244,time_or_ema,0.0054773779836123975
2025-07-16T20:00:00,2025-07-16T21:00:00,22941.0,22889.473761631005,22889.473761631005,23018.28935755349,23054.357724411788,stop,-0.002246032795823857
2025-07-17T11:00:00,2025-07-17T15:00:00,22988.0,23153.590121643734,22912.731762889212,23100.90235566618,23153.590121643734,target,0.006057344643072811
2025-07-23T09:00:00,2025-07-23T16:00:00,23235.0,23224.0,23058.796513881516,23499.305229177728,23622.647669460664,time_or_ema,-0.0004734237142242307
2025-07-30T08:00:00,2025-07-30T09:00:00,23286.0,23198.199355885234,23198.199355885234,23417.70096617215,23479.161417052484,stop,-0.003770533544394328
2025-08-04T10:00:00,2025-08-04T17:00:00,23222.0,23303.0,23156.03679451779,23320.944808223314,23367.11905206086,time_or_ema,0.0038744468224811363
2025-08-08T12:00:00,2025-08-08T13:00:00,24011.0,23953.54842683315,23953.54842683315,24097.177359750276,24137.393460967072,stop,-0.0023927188857961234
2025-08-11T10:00:00,2025-08-11T17:00:00,24070.0,24138.0,23962.201367424517,24231.697948863224,24307.156991666063,time_or_ema,0.0028250934773577066
2025-08-11T21:00:00,2025-08-12T02:00:00,24179.0,24090.2963346694,24090.2963346694,24312.055497995898,24374.148063727316,stop,-0.0036686242330368746
2025-08-12T11:00:00,2025-08-12T18:00:00,24176.0,24154.0,24097.25954451484,24294.11068322774,24349.229002067354,time_or_ema,-0.0009099933818663137
2025-08-12T20:00:00,2025-08-13T02:00:00,24248.0,24302.0,24139.509604203235,24410.73559369515,24486.678870752883,time_or_ema,0.0022269877928076543
2025-08-15T11:00:00,2025-08-15T13:00:00,24373.0,24269.319734996254,24269.319734996254,24528.52039750562,24601.096583008242,stop,-0.0042538983713021035
2025-08-22T22:00:00,2025-08-23T04:00:00,24068.0,24113.0,23839.279722364536,24411.080416453195,24571.18461079802,time_or_ema,0.0018697025095562572
2025-08-25T21:00:00,2025-08-26T03:00:00,24203.0,24160.0,24126.835880135644,24317.246179796533,24370.56106370158,time_or_ema,-0.001776639259595918
2025-08-26T12:00:00,2025-08-26T19:00:00,24275.0,24266.0,24152.28579887459,24459.071301688116,24544.971242475905,time_or_ema,-0.0003707518022657055
